Title,Date,Category,URL
"რუსეთი სურსათის მარაგს იარაღად იყენებს, რასაც გლობალური შედეგები მოჰყვება - ფონ დერ ლეიენი","სამშაბათი, 24 მაისი, 2022 - 16:20",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/04/leieni_0.jpg?itok=WNppiEcn
"როგორც ირკვევა, ჰქონდა ფსიქოლოგიური პრობლემები და დაინახეს, რომ გადმოხტა - თანაინვესტირების ფონდის წარმომადგენელი მუშაზე","სამშაბათი, 24 მაისი, 2022 - 16:17",საზოგადოება,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/abast-sasturmo.png.jpg?itok=VJZST86u
"ჩემი ინფორმაციით, მოსამართლეთა კლანში სერიოზული განგაშია - დეკანოიძე","სამშაბათი, 24 მაისი, 2022 - 15:54",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/dekanoidze.png.jpg?itok=4gVxc-KE
"მკვლელობა ხაშურში - შუა ხნის კაცი, ცეცხლსასროლი იარაღიდან გასროლით მოკლეს ","სამშაბათი, 24 მაისი, 2022 - 15:48",კრიმინალი,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/08/poti.jpg?itok=YeaHxSzk
"ცოტა ხანში შეიძლება მას დასჭირდეს რეანიმაციული ღონისძიებები, იქიდან ცოცხლად გამოყვანა პრაქტიკულად შეუძლებელია - თოიძე მიხეილ სააკაშვილზე","სამშაბათი, 24 მაისი, 2022 - 15:28",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/sdssds.png.jpg?itok=3yRh20da
"ხერხემალზე დამიდგინეს ტრავმა, რომელიც დიდი ალბათობით მივიღე გლდანში, ძალის გამოყენებით გადაყვანისას... საჭიროებს ქირურგიულ ჩარევას - მიხეილ სააკაშვილი","სამშაბათი, 24 მაისი, 2022 - 15:21",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/6.-zura-vivamedi.jpg?itok=dOU_5OyY
RSF ნიკა გვარამიას პატიმრობის განაჩენის გადახედვას ითხოვს,"სამშაბათი, 24 მაისი, 2022 - 15:04",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/nika.jpg?itok=mIlR4YLc
"ყველანაირად ცდილობენ გამოხშირონ მოსახლეობა, გენური ინჟინერიით გამოიყვანონ რობოტიზირებული მონათა ჯგუფი- ფრიდონ ინჯია ""მოღალატეებზე""","სამშაბათი, 24 მაისი, 2022 - 14:44",ციტატები,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2021/11/246432984_1297030770710301_9039627210314291430_n.jpg?itok=qEQH7JKx
ბლინკენის წერილში უკმაყოფილება არ არის გამოხატული - კობახიძე,"სამშაბათი, 24 მაისი, 2022 - 14:36",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/279913314_301820705474593_5372027027215343916_n.jpg?h=920929c4&itok=OZG6x7Oy
"პოლონეთში ავტოსაგზაო შემთხვევისას, საქართველოს მოქალაქე დაიღუპა","სამშაბათი, 24 მაისი, 2022 - 14:12",საზოგადოება,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/polish-police-unearth-illegal-crypto-mining-at-its-headquarters.jpg?itok=_ZkNabTC
